# <Heilpraktiker Karteikarten>
#  Copyright (C) 2020  
#  Authors and Contributors: Radoslav Tsvetkov
#
#    This information is free; you can redistribute it and/or modify it
#    under the terms of the Creative Commons Attribution-NonCommercial 4.0 International  
#
#    This work is distributed in the hope that it will be useful,
#    but WITHOUT ANY WARRANTY; without even the implied warranty of
#    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  
#    See the
#    Creative Commons Attribution-NonCommercial 4.0 International Public License
#    https://creativecommons.org/licenses/by-nc/4.0/legalcode
#    https://creativecommons.org/licenses/by-nc/4.0/legalcode.de
#
# Use <Tab> as field separator
# Currently the fields are: 
# Front	Back	Picture	Tag
#
Haut Schichten	"<b>Epidermis</b> - mehrschichtiges verhornendes Plattenepithel - Stachelzellschicht und Basalzellschicht bilden zusammen die Keimschicht (Stratum germinativum)<div>&nbsp;</div><div><b>Dermis</b> (Lederhaut) - besteht vorwiegend aus Bindegewebsfasern und dient der Ernährung und Verankerung der Epidermis. Hier versorgt das fein kapillarisierte Blutgefäßsystem die Grenzzone zur Epidermis. Die untere Lederhaut enthält die für die Temperaturregelung wichtige glatte Muskulatur und Blutgefäße</div><div><br></div><div><b>Subcutis</b> - enthält die größeren Blutgefäße und Nerven für die oberen Hautschichten sowie das subkutane Fett und lockeres Bindegewebe. In der Unterhaut liegen Sinneszellen für starke Druckreize</div>"	<img src="Haut.jpg">	Haut
#
Erythema nodosum DEf 	"häufig schmerzhafte entzündliche Hautveränderung  mit rötlichen Papeln. Granulomatöse Entzündung der Subkutis. Granulome bestehen aus Gruppen von neutrophilen Granulozyten. EN  auftriff vorzugsweise über der Vorderseite der Tibia. Oft beu Sarkoidose, Morbus Crohn oder Colitis ulcerosa. Darüber hinaus sieht man das Erythema nodosum auch bei verschiedenen viralen oder bakteriellen Infektionen (Streptokokken, Meningokokken, Mykobakterien, Yersinien, Campylobacter jejuni)"		Haut. 
Erythema nodosum Sympt	"Form flacher, knotiger Infiltrate von roter bis blauroter Farbe. Mit der Zeit können sie sich bräunlich verfärben und dann an Hämatome erinnern. Die Effloreszenzen sind schmerzhaft und sehr berührungsempfindlich. Schon das Gewicht der Bettdecke kann Schmerzen verursachen."		Haut
Urtikaria Def	Gruppe von Hauterkrankungen mit charakteristischer Hautreaktion in Form von Quaddeln und/oder Angioödemen		Haut
Urtikaria Pathophysiologie	"Quaddelreaktion durch vasoaktive Mediatoren hervorgerufen durch  Histamin, Kallikrein und Eikosanoide;  Degranulierung von Mastzellen und z.T. von basophilen Granulozyten. Die Mastzellen können durch unterschiedene Reize stimuliet werden: IgE (allergie Typ I), IgG,Komplementspaltprodukte,  weitere Faktoren: Neuropeptide, Kinine, Phospholipase A2, Chymotrypsin, Acetylcholin"		Haut
Primäreffloreszenzen?	"– Macula (Fleck)
– Papula (Knötchen)
– Urtica (Quaddel)
– Nodus (Knoten, ca. erbsengroß)
– Vesicula, Bulla (Bläschen, Blase)
– Pustula (Eiterbläschen)" 		Haut
Sekundäreffloreszenzen?	"– Squama (Schuppe)
– Crusta (Kruste)
– Erosio (oberflächlicher Epidermisverlust)
– Ulcus (Geschwür)
– Rhagade, Fissuren (Haut-, Schleimhauteinrisse)
– Cicatrix (Narbe)"		Haut
Erkr mit Generalisiertes Exanthem ?	"• Masern
• Scharlach
• Röteln
• Windpocken
• Typhus
• Mononukleose
• Toxoplasmose
• Fleckfieber
• Pocken
• Lepra
• Rückfallfieber
• Meningokokken-Meningitis"		Haut
Erkr mit Lokalisiertes Exanthem?	"• Erysipel
• Milzbrand
• Impetigo contagiosa
• Herpes simplex
• Herpes Zoster"		Haut
